frame,J_cm,J_pda_cm,angle_deg,separation_A,aln_A_rms,aln_B_rms
0,94.96585785154883,21.857511172317864,105.60551898322004,26.068166576225163,1.0675554275512695,0.9321182370185852
1,92.14669533465602,21.23839420521734,106.44048739629363,26.33398927116562,1.014635682106018,1.0769189596176147
2,92.39834082531672,21.240881164349222,106.68163838330504,26.26583505030757,0.9555890560150146,1.1449308395385742
3,95.2775027294211,21.865292672591355,106.82479691318491,26.08140294084645,0.9990521669387817,1.1463485956192017
4,96.0345992658174,22.02658970579668,106.72989072261106,26.03975452277055,1.0253503322601318,1.061960220336914
5,97.28606759365339,22.28582158571709,106.32840081019228,25.879582607993182,1.073331356048584,1.1359397172927856
6,98.55305411189846,22.586246696854406,105.62455426219124,25.740446241051973,1.0830708742141724,1.0654757022857666
7,98.8492809684586,22.64701313848777,105.07396186756695,25.665545887455764,1.0783692598342896,1.0288602113723755
8,98.92154278668863,22.64938627301373,105.27107861394651,25.611232702575883,1.0992692708969116,1.11907160282135
9,100.31902010640728,22.931966910120988,105.32574109173437,25.499390842336222,1.137481451034546,1.0558321475982666
10,103.68109187503806,23.64415467011419,105.41559253843873,25.273540800474525,1.0896655321121216,1.0328174829483032
11,101.56876590111243,23.209966648814216,104.55474997924391,25.33526391649725,1.0495301485061646,1.0732532739639282
12,99.84823734233794,22.87197907614811,103.85874267014174,25.397228017988116,1.0749107599258423,1.1159942150115967
13,102.94257349365868,23.529810171686556,104.35438700743786,25.19580923517754,1.1070274114608765,1.158392310142517
14,104.26331416426189,23.800474419448726,104.68793925901599,25.1182873249045,1.1543408632278442,1.1665185689926147
15,104.45793722867644,23.890289967505716,104.20006501641976,25.092590331900883,1.1565272808074951,1.1261957883834839
16,104.42972991622209,23.88466126500588,104.09729117381131,25.098454862516107,1.1222033500671387,1.1266064643859863
17,103.65367352081388,23.726972668457858,104.05269615101527,25.144409087100982,1.0737102031707764,1.150425672531128
18,103.79822592136067,23.785246669302808,103.3205521602988,25.10170564101743,1.131792664527893,1.1971067190170288
