frame,theta_ab_deg,delta_deg,kappa,kappa_2d,kappa_ratio_abs,separation_A,J_cm,J_pda_cm,shift_1pa_cm
134,102.263902,38.86804902,1.515595417,-1.606207388,0.9435863811,24.71181971,32.77537882,27.4613645,-6.961974762
135,101.0376809,39.48115955,1.52207539,-1.595727263,0.9538443225,24.33916233,34.27397037,28.86504855,-6.561906783
136,100.8680783,39.56596085,1.489333538,-1.594274163,0.9341765506,24.42684728,33.51141279,27.94105035,-6.318520797
137,100.3738911,39.81305443,1.508058841,-1.590035464,0.9484435259,24.57849526,33.10106856,27.77188917,-5.960540103
138,102.4431347,38.77843266,1.546550412,-1.607735273,0.9619434477,24.8125489,32.99531924,27.6823497,-7.109519458
139,106.7340317,36.63298414,1.579625596,-1.643964691,0.9608634567,24.56446824,34.70782642,29.13969962,-9.993403032
140,102.8310195,38.58449027,1.526608407,-1.611038201,0.9475929285,24.36672528,34.49128128,28.85287927,-7.659699679
141,105.3864152,37.30679238,1.509174,-1.632663762,0.9243630162,24.7892646,32.57727975,27.08952531,-8.643648983
142,104.0418812,37.9790594,1.523608907,-1.621315541,0.9397362008,24.53344689,33.80878312,28.21309969,-8.20306166
143,103.601062,38.19946901,1.521819237,-1.617580064,0.9407999463,25.20873319,30.99040489,25.97544608,-7.28770759
144,105.4063827,37.29680863,1.512548067,-1.632831758,0.9263343024,24.90937301,32.10486777,26.75924194,-8.529092055
145,100.3994749,39.80026253,1.496992039,-1.590255066,0.9413534164,24.68314781,31.88376506,27.21891871,-5.755342631
146,100.9016794,39.54916031,1.473777971,-1.594562112,0.9242524699,24.66553333,32.21628275,26.85428164,-6.092879499
147,102.0087498,38.9956251,1.553980101,-1.604030532,0.9687970834,24.52799136,33.57183421,28.79469677,-6.984991544
148,100.8153594,39.59232032,1.521908824,-1.593822316,0.9548798563,24.56571572,33.33457008,28.07070884,-6.255053105
149,100.8530248,39.57348759,1.516813305,-1.59414515,0.9514900859,25.0748304,31.28712777,26.30698799,-5.89106266
150,104.5452156,37.72739218,1.564979885,-1.625571976,0.9627256794,25.34614799,30.83220557,26.28003084,-7.743321931
151,104.2574343,37.87128285,1.588323693,-1.623139526,0.9785503141,25.49562322,30.66272851,26.20566149,-7.551587696
152,104.3253535,37.83732327,1.544309986,-1.62371389,0.9510973549,25.00110497,31.83162791,27.02152645,-7.876029005
153,104.0333121,37.98334396,1.517615891,-1.621242995,0.9360816952,25.52962434,29.74824637,24.93914741,-7.213532974
154,101.7095074,39.14524631,1.544949609,-1.60147489,0.9647042353,24.95941189,32.06735499,27.16841388,-6.508062637
155,103.38757,38.30621499,1.54991995,-1.61576843,0.9592463381,24.84047477,32.50553156,27.64920203,-7.52622871
156,103.9873038,38.00634812,1.51766742,-1.62085344,0.9363384637,24.93179515,31.98196962,26.77743486,-7.730262114
157,104.8887664,37.55561681,1.577416733,-1.628471658,0.9686485639,24.56441822,34.29357228,29.09913,-8.81150421
158,102.9852219,38.50738905,1.525159541,-1.612349865,0.9459234463,24.82803243,32.58442775,27.24842308,-7.321712148
159,101.0939188,39.45304062,1.525378757,-1.596208907,0.9556260154,25.10463087,31.03387485,26.36144325,-5.971470337
160,100.4154664,39.7922668,1.499789401,-1.590392322,0.9430310878,24.95967997,31.27567019,26.37340793,-5.654160885
161,101.6109789,39.19451054,1.546362471,-1.600632811,0.9660944476,24.54274773,33.45372172,28.6018919,-6.733084113
162,102.2384369,38.88078157,1.563161821,-1.605990224,0.9733320895,24.8212185,32.64258951,27.95037609,-6.919590748
163,101.7337184,39.13314079,1.518218403,-1.601681765,0.9478901712,24.43522168,33.45324251,28.45367788,-6.803169505
164,99.93088709,40.03455645,1.495708551,-1.586230065,0.9429329226,24.61169494,32.53458544,27.43313343,-5.610918817
165,103.8622599,38.06887003,1.564181477,-1.619794295,0.9656667404,25.07515,32.40924432,27.12748485,-7.764885182
166,104.7370808,37.63145961,1.542177469,-1.627191945,0.9477538737,24.78385754,32.51581887,27.70005627,-8.271500472
167,101.8683866,39.06580672,1.538740308,-1.602832127,0.9600133925,24.72562858,32.76997034,27.83404445,-6.739611485
168,106.3461228,36.82693862,1.5835522,-1.640719628,0.9651571013,24.92296068,33.06419347,27.96961553,-9.30556199
169,106.9964651,36.50176744,1.579382909,-1.646156352,0.959436755,24.48343907,35.06144943,29.42545459,-10.24890711
170,108.5145624,35.74271878,1.591936426,-1.658772837,0.9597073149,24.43446116,35.45867174,29.83804958,-11.25974783
171,108.719214,35.64039298,1.589940889,-1.660465309,0.9575273149,24.4678317,34.87293525,29.67888183,-11.19179266
172,100.7146386,39.64268072,1.51061651,-1.592958829,0.9483085702,24.65009809,32.66812464,27.57727064,-6.073581233
173,103.6568027,38.17159866,1.529326513,-1.618052797,0.9451647784,24.96423492,31.24530693,26.87809257,-7.377191741
174,106.5278684,36.7360658,1.581344234,-1.642240838,0.9629185908,24.24653173,35.80562158,30.33406088,-10.18604325
175,104.7583647,37.62081766,1.546045615,-1.627371563,0.950026196,24.57785836,33.84540843,28.4736539,-8.62188514
176,101.8685382,39.06573092,1.529869444,-1.602833421,0.9544781281,24.57422239,33.24536138,28.18824435,-6.837468512
177,106.3428081,36.82859596,1.578433567,-1.640691871,0.9620536285,24.31782208,35.35029733,30.01271525,-9.946998916
178,106.3225361,36.83873194,1.538146219,-1.640522103,0.9375955473,24.5458956,33.70149733,28.43897792,-9.471610588
179,99.09363021,40.4531849,1.517090098,-1.579024146,0.9607770104,24.45971475,33.35776225,28.3472034,-5.27213734
180,104.9189339,37.54053303,1.56090825,-1.628726064,0.9583614365,24.47571415,34.69687315,29.10879775,-8.932783807
181,102.6545549,38.67272257,1.508714251,-1.609536187,0.9373596341,24.50851362,33.1938129,28.02264227,-7.271847364
182,107.7298163,36.13509184,1.596946573,-1.652264389,0.9665199975,24.1825101,36.30656865,30.87729614,-11.05639498
183,105.7080107,37.14599464,1.574456617,-1.63536752,0.9627539972,24.7092952,33.52183899,28.53662672,-9.075536442
184,102.0284351,38.98578244,1.546528781,-1.604198553,0.9640507268,24.3218003,34.82546028,29.39164284,-7.257525164
185,107.0005866,36.49970669,1.572449609,-1.646190748,0.9552049853,24.55694574,34.77087096,29.03398813,-10.16635926
186,102.8609011,38.56954945,1.532934977,-1.611292441,0.9513698061,24.90221544,32.01477359,27.14330865,-7.126004616
187,100.2052374,39.89738129,1.504699201,-1.588587352,0.9471932394,24.65064414,32.31017793,27.46742095,-5.724546244
188,105.7633978,37.11830108,1.519055289,-1.63583275,0.9286128362,24.21322598,35.1362817,29.25961622,-9.545315526
189,101.6856957,39.15715214,1.525323492,-1.60127141,0.9525702409,24.89318338,31.93102177,27.03794335,-6.467399173
190,104.5060125,37.74699376,1.548876816,-1.625240799,0.9530137427,24.66398416,33.38598399,28.22800531,-8.362574611
191,103.3679328,38.31603359,1.524224408,-1.615601713,0.943440698,24.81979529,32.57332133,27.25883784,-7.531063488
192,105.2297142,37.38514292,1.516905905,-1.631344805,0.9298499618,24.55971332,33.37631163,27.99895178,-8.767610296
193,106.00757,36.99621499,1.536725542,-1.637882179,0.9382393695,24.85375493,32.41970005,27.36990468,-8.940197739
194,105.8480791,37.07596043,1.532096073,-1.636543793,0.9361778642,24.87223369,32.62624142,27.22667709,-8.909821508
195,105.1191821,37.44040897,1.529788407,-1.630413862,0.9382822619,25.14599591,31.36158564,26.30739547,-8.179971026
196,102.2749628,38.86251862,1.510130335,-1.606301707,0.9401286995,24.87281023,31.70456183,26.83446075,-6.740498096
197,103.2357994,38.38210031,1.498735422,-1.614479567,0.928308696,24.63999113,32.87770387,27.39405604,-7.527650615
198,99.43577152,40.28211424,1.501919272,-1.581970939,0.949397511,25.07225964,30.35636275,26.05668544,-4.976679112
199,104.4376057,37.78119714,1.516400991,-1.624662779,0.9333635329,24.77463746,32.34162603,27.26748893,-8.063593928
200,104.2630359,37.86848206,1.502929506,-1.623186903,0.9259127853,25.24034855,30.58387732,25.5567472,-7.535066232
201,107.5590536,36.2204732,1.572678932,-1.650844308,0.9526512732,25.09238719,32.14410064,27.2186849,-9.697509242
202,103.9110208,38.04448959,1.53633972,-1.620207377,0.9482364677,24.86486763,32.50637958,27.3263618,-7.815013279
203,105.306151,37.34692448,1.544763511,-1.6319883,0.9465530549,24.97377423,32.36918312,27.11830048,-8.544706887
204,98.02242682,40.98878659,1.518101396,-1.569780351,0.9670788618,24.6817781,32.01547971,27.60733333,-4.468102852
205,102.3372451,38.83137743,1.474537782,-1.606832735,0.9176672532,24.93195623,31.28443228,26.01595947,-6.684402931
206,104.2218475,37.88907624,1.497480114,-1.622838514,0.9227536203,24.75622701,32.29908699,26.98737875,-7.935143713
207,103.217734,38.39113299,1.536597368,-1.614326099,0.951850663,24.73770919,32.8581125,27.75457973,-7.51307966
208,100.9744326,39.5127837,1.563596021,-1.59518547,0.9801970057,24.32299752,34.66157728,29.71161643,-6.598557037
209,102.2188745,38.89056274,1.50306125,-1.605823384,0.9360065779,24.56122692,32.81394534,27.73827923,-6.944965468
210,104.8721662,37.56391692,1.524042626,-1.628331652,0.935953449,24.7080986,32.83406667,27.62689942,-8.427300069
211,104.6353251,37.68233743,1.560826274,-1.626332971,0.9597212266,24.29730927,35.33973273,29.75315548,-8.929146843
212,103.3404094,38.32979532,1.493329445,-1.61536802,0.9244515348,25.0165321,31.3377721,26.08118508,-7.230753435
213,98.10281914,40.94859043,1.478704571,-1.570474972,0.9415651938,24.54739605,32.06496524,27.33494073,-4.519555059
214,106.0388006,36.98059972,1.525966632,-1.638144128,0.9315215955,24.43525832,34.37308054,28.59876264,-9.496878494
215,104.6867307,37.65663464,1.550859457,-1.626766963,0.9533384268,24.99008069,32.31292061,27.17205452,-8.192421609
216,103.2351174,38.38244129,1.538123072,-1.614473774,0.9527086142,24.48456057,34.13653505,28.65280568,-7.815475997
217,99.49377872,40.25311064,1.510125385,-1.582470256,0.9542835821,25.04272025,30.79691023,26.29187213,-5.079658148
218,100.643044,39.67847801,1.517224992,-1.592344869,0.9528243673,25.00997602,31.18856776,26.51936811,-5.760208398
219,98.80385479,40.5980726,1.482226834,-1.576526161,0.9401853709,24.37404413,33.15091924,27.98884016,-5.073825192
220,96.74459019,41.62770491,1.455077959,-1.558721816,0.9335071494,25.04209847,29.83552259,25.33536208,-3.503992147
221,100.7314168,39.63429161,1.514871792,-1.59310269,0.950894002,25.00549468,31.16376558,26.49247524,-5.802860802
222,100.0691645,39.96541774,1.502379124,-1.58741843,0.9464291808,24.92026069,31.22599865,26.54451575,-5.459455563
223,99.79977425,40.10011288,1.518641579,-1.585102808,0.9580713448,24.45262033,33.18938907,28.40089864,-5.649020431
224,97.63625705,41.18187147,1.451166664,-1.566441805,0.9264095607,24.58875164,31.87285995,26.69075521,-4.235380687
225,100.6975843,39.65120785,1.52186192,-1.592812593,0.9554557308,24.34878018,33.6836786,28.82681318,-6.252539117
226,98.784825,40.6075875,1.441007604,-1.576362048,0.9141349264,24.65318876,31.27438138,26.29662296,-4.776351593
227,100.1553563,39.92232184,1.44611646,-1.588158911,0.9105615626,24.59163077,31.55390223,26.58852777,-5.563515319
228,97.19909454,41.40045273,1.467972328,-1.562658777,0.9394068294,24.16501937,33.21258444,28.44522911,-4.162119875
229,97.76349192,41.11825404,1.460065682,-1.567542127,0.9314363272,24.78904243,31.07557765,26.20874047,-4.197821229
230,99.59130069,40.20434965,1.452831028,-1.58330952,0.9175912923,24.54541238,32.21086607,26.86316117,-5.366943567
231,99.75714168,40.12142916,1.497869241,-1.584736174,0.94518524,24.41365922,33.54725503,28.14675143,-5.685332076
232,96.90621265,41.54689367,1.471643679,-1.560122242,0.9432874163,23.98520429,34.57191794,29.16254442,-4.157082434
233,99.76154209,40.11922896,1.525910249,-1.584774019,0.9628566793,24.00502013,35.49675261,30.1630863,-6.018404766
234,97.14374448,41.42812776,1.503279629,-1.562179536,0.9622963267,24.37720988,33.3053003,28.3753216,-4.141816216
