wavenumber_cm,absorption,cd
17594.1643,1.24900277e-03,-6.46641484e+01
17594.6144,1.25042516e-03,-6.47686180e+01
17595.0645,1.25185000e-03,-6.48733130e+01
17595.5146,1.25327730e-03,-6.49782341e+01
17595.9647,1.25470705e-03,-6.50833818e+01
17596.4149,1.25613927e-03,-6.51887569e+01
17596.8650,1.25757397e-03,-6.52943598e+01
17597.3151,1.25901113e-03,-6.54001913e+01
17597.7652,1.26045078e-03,-6.55062519e+01
17598.2153,1.26189292e-03,-6.56125422e+01
17598.6654,1.26333755e-03,-6.57190629e+01
17599.1155,1.26478469e-03,-6.58258147e+01
17599.5656,1.26623432e-03,-6.59327980e+01
17600.0158,1.26768647e-03,-6.60400137e+01
17600.4659,1.26914114e-03,-6.61474622e+01
17600.9160,1.27059832e-03,-6.62551442e+01
17601.3661,1.27205804e-03,-6.63630604e+01
17601.8162,1.27352029e-03,-6.64712114e+01
17602.2663,1.27498508e-03,-6.65795979e+01
17602.7164,1.27645242e-03,-6.66882204e+01
17603.1665,1.27792231e-03,-6.67970796e+01
17603.6167,1.27939476e-03,-6.69061763e+01
17604.0668,1.28086977e-03,-6.70155109e+01
17604.5169,1.28234736e-03,-6.71250842e+01
17604.9670,1.28382752e-03,-6.72348968e+01
17605.4171,1.28531026e-03,-6.73449494e+01
17605.8672,1.28679559e-03,-6.74552426e+01
17606.3173,1.28828351e-03,-6.75657771e+01
17606.7674,1.28977404e-03,-6.76765536e+01
17607.2176,1.29126717e-03,-6.77875727e+01
17607.6677,1.29276292e-03,-6.78988350e+01
17608.1178,1.29426128e-03,-6.80103413e+01
17608.5679,1.29576227e-03,-6.81220923e+01
17609.0180,1.29726589e-03,-6.82340885e+01
17609.4681,1.29877214e-03,-6.83463306e+01
17609.9182,1.30028105e-03,-6.84588194e+01
17610.3683,1.30179260e-03,-6.85715555e+01
17610.8185,1.30330680e-03,-6.86845397e+01
17611.2686,1.30482367e-03,-6.87977725e+01
17611.7187,1.30634321e-03,-6.89112546e+01
17612.1688,1.30786542e-03,-6.90249868e+01
17612.6189,1.30939031e-03,-6.91389698e+01
17613.0690,1.31091789e-03,-6.92532042e+01
17613.5191,1.31244816e-03,-6.93676907e+01
17613.9692,1.31398114e-03,-6.94824300e+01
17614.4194,1.31551682e-03,-6.95974229e+01
17614.8695,1.31705521e-03,-6.97126700e+01
17615.3196,1.31859633e-03,-6.98281720e+01
17615.7697,1.32014017e-03,-6.99439297e+01
17616.2198,1.32168674e-03,-7.00599437e+01
17616.6699,1.32323605e-03,-7.01762147e+01
17617.1200,1.32478810e-03,-7.02927435e+01
17617.5701,1.32634291e-03,-7.04095308e+01
17618.0203,1.32790047e-03,-7.05265774e+01
17618.4704,1.32946081e-03,-7.06438838e+01
17618.9205,1.33102391e-03,-7.07614508e+01
17619.3706,1.33258979e-03,-7.08792793e+01
17619.8207,1.33415845e-03,-7.09973698e+01
17620.2708,1.33572991e-03,-7.11157232e+01
17620.7209,1.33730416e-03,-7.12343401e+01
17621.1710,1.33888122e-03,-7.13532213e+01
17621.6212,1.34046109e-03,-7.14723675e+01
17622.0713,1.34204378e-03,-7.15917795e+01
17622.5214,1.34362929e-03,-7.17114580e+01
17622.9715,1.34521764e-03,-7.18314038e+01
17623.4216,1.34680882e-03,-7.19516176e+01
17623.8717,1.34840285e-03,-7.20721001e+01
17624.3218,1.34999973e-03,-7.21928522e+01
17624.7719,1.35159947e-03,-7.23138745e+01
17625.2221,1.35320207e-03,-7.24351678e+01
17625.6722,1.35480755e-03,-7.25567329e+01
17626.1223,1.35641591e-03,-7.26785705e+01
17626.5724,1.35802715e-03,-7.28006814e+01
17627.0225,1.35964129e-03,-7.29230664e+01
17627.4726,1.36125833e-03,-7.30457263e+01
17627.9227,1.36287827e-03,-7.31686617e+01
17628.3728,1.36450113e-03,-7.32918736e+01
17628.8230,1.36612691e-03,-7.34153626e+01
17629.2731,1.36775562e-03,-7.35391296e+01
17629.7232,1.36938727e-03,-7.36631753e+01
17630.1733,1.37102185e-03,-7.37875005e+01
17630.6234,1.37265939e-03,-7.39121060e+01
17631.0735,1.37429988e-03,-7.40369926e+01
17631.5236,1.37594334e-03,-7.41621611e+01
17631.9737,1.37758977e-03,-7.42876123e+01
17632.4239,1.37923918e-03,-7.44133470e+01
17632.8740,1.38089157e-03,-7.45393660e+01
17633.3241,1.38254696e-03,-7.46656701e+01
17633.7742,1.38420534e-03,-7.47922600e+01
17634.2243,1.38586674e-03,-7.49191367e+01
17634.6744,1.38753115e-03,-7.50463009e+01
17635.1245,1.38919858e-03,-7.51737535e+01
17635.5746,1.39086904e-03,-7.53014952e+01
17636.0248,1.39254253e-03,-7.54295268e+01
17636.4749,1.39421907e-03,-7.55578493e+01
17636.9250,1.39589867e-03,-7.56864634e+01
17637.3751,1.39758132e-03,-7.58153700e+01
17637.8252,1.39926704e-03,-7.59445699e+01
17638.2753,1.40095583e-03,-7.60740639e+01
17638.7254,1.40264770e-03,-7.62038529e+01
17639.1755,1.40434266e-03,-7.63339376e+01
17639.6257,1.40604072e-03,-7.64643191e+01
17640.0758,1.40774189e-03,-7.65949980e+01
17640.5259,1.40944616e-03,-7.67259752e+01
17640.9760,1.41115356e-03,-7.68572517e+01
17641.4261,1.41286408e-03,-7.69888283e+01
17641.8762,1.41457774e-03,-7.71207057e+01
17642.3263,1.41629454e-03,-7.72528849e+01
17642.7764,1.41801449e-03,-7.73853668e+01
17643.2266,1.41973760e-03,-7.75181522e+01
17643.6767,1.42146387e-03,-7.76512419e+01
17644.1268,1.42319332e-03,-7.77846369e+01
17644.5769,1.42492595e-03,-7.79183381e+01
17645.0270,1.42666177e-03,-7.80523462e+01
17645.4771,1.42840078e-03,-7.81866622e+01
17645.9272,1.43014300e-03,-7.83212871e+01
17646.3773,1.43188844e-03,-7.84562215e+01
17646.8275,1.43363709e-03,-7.85914666e+01
17647.2776,1.43538898e-03,-7.87270231e+01
17647.7277,1.43714410e-03,-7.88628919e+01
17648.1778,1.43890246e-03,-7.89990740e+01
17648.6279,1.44066408e-03,-7.91355702e+01
17649.0780,1.44242896e-03,-7.92723815e+01
17649.5281,1.44419711e-03,-7.94095088e+01
17649.9782,1.44596853e-03,-7.95469530e+01
17650.4284,1.44774324e-03,-7.96847150e+01
17650.8785,1.44952125e-03,-7.98227957e+01
17651.3286,1.45130255e-03,-7.99611960e+01
17651.7787,1.45308717e-03,-8.00999169e+01
17652.2288,1.45487510e-03,-8.02389594e+01
17652.6789,1.45666636e-03,-8.03783242e+01
17653.1290,1.45846096e-03,-8.05180124e+01
17653.5791,1.46025890e-03,-8.06580250e+01
17654.0293,1.46206019e-03,-8.07983628e+01
17654.4794,1.46386484e-03,-8.09390268e+01
17654.9295,1.46567286e-03,-8.10800179e+01
17655.3796,1.46748425e-03,-8.12213371e+01
17655.8297,1.46929903e-03,-8.13629854e+01
17656.2798,1.47111721e-03,-8.15049637e+01
17656.7299,1.47293878e-03,-8.16472730e+01
17657.1800,1.47476377e-03,-8.17899143e+01
17657.6302,1.47659217e-03,-8.19328884e+01
17658.0803,1.47842401e-03,-8.20761965e+01
17658.5304,1.48025928e-03,-8.22198394e+01
17658.9805,1.48209799e-03,-8.23638181e+01
17659.4306,1.48394016e-03,-8.25081337e+01
17659.8807,1.48578579e-03,-8.26527870e+01
17660.3308,1.48763489e-03,-8.27977792e+01
17660.7809,1.48948748e-03,-8.29431112e+01
17661.2311,1.49134355e-03,-8.30887840e+01
17661.6812,1.49320312e-03,-8.32347985e+01
17662.1313,1.49506619e-03,-8.33811559e+01
17662.5814,1.49693278e-03,-8.35278571e+01
17663.0315,1.49880290e-03,-8.36749030e+01
17663.4816,1.50067654e-03,-8.38222948e+01
17663.9317,1.50255373e-03,-8.39700335e+01
17664.3818,1.50443447e-03,-8.41181200e+01
17664.8320,1.50631877e-03,-8.42665554e+01
17665.2821,1.50820664e-03,-8.44153408e+01
17665.7322,1.51009809e-03,-8.45644771e+01
17666.1823,1.51199312e-03,-8.47139654e+01
17666.6324,1.51389175e-03,-8.48638067e+01
17667.0825,1.51579399e-03,-8.50140021e+01
17667.5326,1.51769984e-03,-8.51645526e+01
17667.9827,1.51960931e-03,-8.53154593e+01
17668.4329,1.52152242e-03,-8.54667233e+01
17668.8830,1.52343917e-03,-8.56183455e+01
17669.3331,1.52535957e-03,-8.57703271e+01
17669.7832,1.52728364e-03,-8.59226691e+01
17670.2333,1.52921137e-03,-8.60753726e+01
17670.6834,1.53114278e-03,-8.62284386e+01
17671.1335,1.53307788e-03,-8.63818683e+01
17671.5836,1.53501668e-03,-8.65356627e+01
17672.0338,1.53695919e-03,-8.66898229e+01
17672.4839,1.53890542e-03,-8.68443500e+01
17672.9340,1.54085537e-03,-8.69992451e+01
17673.3841,1.54280906e-03,-8.71545093e+01
17673.8342,1.54476650e-03,-8.73101436e+01
17674.2843,1.54672769e-03,-8.74661493e+01
17674.7344,1.54869264e-03,-8.76225274e+01
17675.1845,1.55066138e-03,-8.77792789e+01
17675.6347,1.55263389e-03,-8.79364051e+01
17676.0848,1.55461021e-03,-8.80939071e+01
17676.5349,1.55659032e-03,-8.82517859e+01
17676.9850,1.55857425e-03,-8.84100428e+01
17677.4351,1.56056201e-03,-8.85686787e+01
17677.8852,1.56255360e-03,-8.87276950e+01
17678.3353,1.56454903e-03,-8.88870926e+01
17678.7854,1.56654832e-03,-8.90468729e+01
17679.2356,1.56855147e-03,-8.92070368e+01
17679.6857,1.57055850e-03,-8.93675856e+01
17680.1358,1.57256941e-03,-8.95285204e+01
17680.5859,1.57458421e-03,-8.96898424e+01
17681.0360,1.57660292e-03,-8.98515528e+01
17681.4861,1.57862554e-03,-9.00136527e+01
17681.9362,1.58065209e-03,-9.01761432e+01
