time_ps,phase,k_pull,r0_pull_ang,alpha_deg,cos_alpha,linker_e2e_ang,cr2_sep_ang,triple_product_ang,potential_kj_mol,temperature_k
36510.0,control,0.0,0.0,99.69087045231828,-0.16833231477923788,53.697495004754934,26.054566924523986,-2.7968664333606865,-1173774.9790177085,302.9905523152921
36520.0,control,0.0,0.0,100.82595254396193,-0.18782622956955047,53.423791067634994,26.283100759205304,-2.349482694099873,-1173848.4963487573,300.3025131629493
36530.0,control,0.0,0.0,104.10801454434687,-0.24375067528100458,53.27013241277267,26.087951432738645,-4.844164726537574,-1174551.0371456835,299.7374703254869
36540.0,control,0.0,0.0,105.49031508556803,-0.26707548629365047,53.093073292169784,26.48833692373493,-2.9124869106693017,-1173670.99734113,299.79719208015956
36550.0,control,0.0,0.0,104.35874880420532,-0.2479924727391401,53.2966593407877,26.45236416991889,-4.328421316363011,-1173379.0516908262,299.5504153008854
36560.0,control,0.0,0.0,101.26243635076722,-0.1953032020305252,53.379771697379,26.337628830983654,-3.6068068417000405,-1174669.56155047,301.5778346580938
36570.0,control,0.0,0.0,104.34709461649594,-0.24779541760402213,53.290384381087115,25.966534007726214,-5.340937794276897,-1174857.5814198963,298.28524991781086
36580.0,control,0.0,0.0,102.21286276619857,-0.2115442186713193,51.693633553646485,26.28482792699235,-4.111685449949235,-1174470.9114691392,297.9463888848441
36590.0,control,0.0,0.0,104.36890357304318,-0.2481641665466262,52.95334631938533,26.318966643131866,-3.5069731515100053,-1174541.293415714,302.4401040869071
36600.0,control,0.0,0.0,104.45692999125792,-0.24965216376757263,55.38909747761139,25.69037149974219,-3.3713647904701043,-1173113.019444909,298.65546110744975
36610.0,control,0.0,0.0,96.01811565924176,-0.1048429038819593,53.12442101929498,26.01405547959984,-3.3061567670682708,-1175273.3999461215,301.52142933740436
36620.0,control,0.0,0.0,100.27726097469501,-0.17841172574393863,52.94401938943197,26.30709758327934,-4.469376170594726,-1173303.165584717,300.5092256036158
