J_scale,J_mean_cm-1,best_detuning_cm-1,best_gap_mean_cm-1,best_gap_sample_sd_cm-1,best_mean_mixing,best_mean_participation_ratio,normalized_rms_profile_residual,profile_scale,third_band_amplitude,baseline_constant,baseline_slope_per_1000cm-1,maximum_cm-1,minimum_cm-1,extrema_separation_cm-1,maximum_nm,minimum_nm
0.25,8.204121278953664,238.56215842626605,239.12702515489258,0.05340502601736942,0.06861654438597602,1.0023649686009946,0.009933264079172827,-0.02436216338853193,-0.41618217874678365,0.07610347096316657,0.0042489415155091415,19157.5,19642.5,485.0,521.9887772412893,509.10016545755377
0.5,16.40824255790733,236.86412139223307,239.13155526983826,0.21360118485837615,0.13722624591459903,1.009526497358672,0.009933254414250645,-0.012181138825053131,-0.4161880610846209,0.07610527811238639,0.004250958787765102,19157.5,19642.5,485.0,521.9887772412893,509.10016545755377
1.0,32.81648511581466,229.93732515241877,239.1396702088033,0.8541493057738254,0.27441171748377885,1.0392140123895586,0.009933099968878825,-0.006090578927481958,-0.416186646435363,0.07610463199095036,0.004250953288571724,19157.5,19642.5,485.0,521.9887772412893,509.10016545755377
2.0,65.63297023162932,199.8997304637468,239.2020389240956,3.412814748102578,0.5485075034588337,1.1774562334122771,0.009930640417075538,-0.0030453594625497412,-0.41616155788240766,0.07609354448190746,0.0042500140440949186,19157.5,19642.5,485.0,521.9887772412893,509.10016545755377
3.0,98.44945534744397,136.10624134998912,239.42059933347676,7.6667610873157575,0.8219933625304444,1.5107555636857632,0.009920060786072318,-0.0020304642422371644,-0.41606770107281366,0.0760501291538347,0.0042508928300710735,19157.5,19642.5,485.0,521.9887772412893,509.10016545755377
3.9,127.98429195167715,0.0034180795414418437,255.9685839262274,12.121466932080835,0.9999999999102365,1.9999999996409463,0.012417007219794919,-0.0015986835294754596,-0.44701691292404405,0.08566029708817223,0.014653726605556638,19150.0,19640.0,490.0,522.1932114882507,509.1649694501018
4.1,134.54758897484007,0.0034180795414418437,269.0951779714375,12.743080621014244,0.9999999999187804,1.9999999996751214,0.016473313647932888,-0.0015457878930168869,-0.4703606538728142,0.09299681959299078,0.02232852032286675,19145.0,19637.5,492.5,522.3295899712718,509.22978994271165
