scenario,detuning_cm-1,detuning_eV,gap_mean_cm-1,gap_sample_sd_cm-1,mixing_mean,minor_site_weight_mean,participation_ratio_mean,relative_CD_area_vs_resonance,maximum_cm-1,minimum_cm-1,extrema_separation_cm-1,maximum_nm,minimum_nm
resonant_corrected_J,0.0,0.0,65.63297023162932,3.1080684444019644,1.0,0.5,2.0,1.0,19265.0,19782.5,517.5,519.0760446405399,505.4972829521041
100_cm-1_detuning,100.0,0.012398419739326684,119.64292845941725,1.7058107270658773,0.5483154731334698,0.08200507108117067,1.17731007573233,0.5464880364649873,19222.5,19710.0,487.5,520.2236961893615,507.35667174023337
constrained_fit_gap,253.19184046944306,0.03139178712712796,261.57759089260884,0.7809249376115208,0.25087888309639533,0.016024876724319622,1.0325672271226929,0.24896301619330077,19147.5,19640.0,492.5,522.2613918266093,509.1649694501018
unconstrained_fit_gap,364.90923522591754,0.0452429786508762,370.7772698712868,0.5510121277266387,0.1770025023938286,0.007912067794704462,1.0159503883289662,0.17513634785102924,19100.0,19635.0,535.0,523.5602094240837,509.29462694168575
corrected_charge_smoke_diagnostic,1915.98,0.2375512425215514,1917.1063314959845,0.10658405403254313,0.0342353456601391,0.0002937566793432471,1.0005876874867083,0.03250318930105374,18362.5,20282.5,1920.0,544.5881552076243,493.03586835942315
