distribution,detuning_mean_cm-1,detuning_normal_sd_cm-1,gap_mean_cm-1,gap_rms_sd_cm-1,mixing_mean,single_branch_rms_sd_cm-1
normal_about_required_mean,253.19184046944306,0.0,261.5775908926089,0.7805343774769852,0.2508788830963954,0.3902671887384926
normal_about_required_mean,253.19184046944306,25.0,261.6548900755763,24.19015896255267,0.2529977739972758,12.095079481276334
normal_about_required_mean,253.19184046944306,50.0,261.9152477601723,48.20630956444437,0.25995685402777635,24.103154782222184
normal_about_required_mean,253.19184046944306,100.0,263.8436226344351,93.86153677749624,0.2934627848334844,46.93076838874812
normal_about_required_mean,253.19184046944306,200.0,286.45073343519044,162.38664540391542,0.3286453926947261,81.19332270195771
normal_about_required_mean,253.19184046944306,400.0,392.8454829505531,272.20556904009544,0.29357281989927697,136.10278452004772
zero_mean_normal_target_gap,0.0,308.0423738057852,261.58,175.4518306279382,0.39010150602752175,87.7259153139691
