wavenumber_cm-1,wavelength_nm,published_fit_reconstruction_normalized,resonant_corrected_J,100_cm-1_detuning,constrained_fit_gap,unconstrained_fit_gap,corrected_charge_smoke_diagnostic
18000.0,555.5555555555555,0.0009089521444213557,-0.04150110687557713,-0.02683007505672679,0.0009676258055809233,0.014879549551874708,0.3824057674444561
18002.5,555.4784057769754,0.0010071627048659053,-0.04159080245840133,-0.02685571653530563,0.0010593537001542597,0.01503352832117818,0.3857768351694047
18005.0,555.401277422938,0.0011063699885605555,-0.04168061707299961,-0.026881092252678686,0.0011520439449614246,0.015188867135215167,0.3891813209998233
18007.5,555.3241704845203,0.0012065841514337847,-0.04177054880632734,-0.02690619741579993,0.001245706572987043,0.015345579298277562,0.39261946584903584
18010.0,555.247084952804,0.0013078154632292901,-0.041860595703569516,-0.026931027164511744,0.0013403517314230433,0.015503678261453182,0.3960915068095943
18012.5,555.1700208188757,0.0014100743089165608,-0.041950755767447015,-0.026955576570599236,0.0014359896830994378,0.015663177624431902,0.3995976768483702
18015.0,555.0929780738273,0.0015133711901197382,-0.04204102695751039,-0.026979840636830905,0.001532630807933764,0.01582409113733603,0.403138204489685
18017.5,555.0159567087554,0.0016177167265666323,-0.042131407189423056,-0.027003814295984377,0.0016302856044015785,0.015986432702575742,0.4067133134861594
18020.0,554.9389567147614,0.001723121657556735,-0.042221894334232145,-0.027027492409858685,0.0017289646910255607,0.0161502163767291,0.41032322247696623
18022.5,554.8619780829519,0.0018295968434496963,-0.042312486217627704,-0.027050869768270765,0.001828678807886341,0.01631545637244784,0.4139681446331671
18025.0,554.7850208044383,0.0019371532671736476,-0.042403180619190184,-0.027073941088038237,0.0019294388181534468,0.01648216706038864,0.4176482872898132
18027.5,554.708084870337,0.002045802035754487,-0.04249397527162439,-0.027096701011945782,0.0020312557096368467,0.01665036297117074,0.4213638515644958
18030.0,554.6311702717693,0.0021555543818654772,-0.04258486785998267,-0.027119144107696898,0.002134140596360598,0.01682005879736004,0.42511503196202877
18032.5,554.5542769998614,0.002266421665398422,-0.04267585602087375,-0.027141264866850378,0.002238104720157718,0.016991269395480117,0.4289020159649541
