assumed_J_cm-1,required_detuning_cm-1,mixing,minor_site_weight
0.0,261.58,0.0,0.0
0.9983969465648854,261.57237853823244,0.007633587786259542,1.4568127852998547e-05
1.9967938931297708,261.54951282040923,0.015267175572519083,5.827505847300074e-05
2.995190839694656,261.511398847804,0.022900763358778622,0.00013112843527024465
3.9935877862595417,261.45802995198625,0.030534351145038167,0.00023314100469018495
4.991984732824427,261.38939678898413,0.03816793893129771,0.00036433062737184496
5.990381679389312,261.3054873310948,0.045801526717557245,0.0005247202938015172
6.988778625954198,261.2062868563267,0.05343511450381679,0.0007143381444936758
7.987175572519083,261.0917779354513,0.061068702290076333,0.0009332174947410121
8.985572519083968,260.9619404166384,0.06870229007633587,0.0011813968639834416
9.983969465648855,260.81675140764247,0.07633587786259542,0.001458920009858422
10.98236641221374,260.6561852555038,0.08396946564885496,0.0017658359670009172
11.980763358778624,260.48021352372194,0.09160305343511449,0.002102199090675938
12.97916030534351,260.28880496685366,0.09923664122137404,0.002468069105333648
13.977557251908395,260.0819255024818,0.10687022900763359,0.0028635111581891137
14.975954198473282,259.8595381804965,0.11450381679389314,0.003288595877940781
15.974351145038167,259.6216031496225,0.12213740458015267,0.0037433994387520153
16.97274809160305,259.3680776211212,0.1297709923664122,0.004228003629633048
17.971145038167936,259.09891582958915,0.13740458015267173,0.004742495929373147
18.969541984732825,258.8140689907676,0.14503816793893132,0.005286969587186219
19.96793893129771,258.51348525627026,0.15267175572519084,0.005861523709247141
20.966335877862594,258.1971096651289,0.16030534351145037,0.006466263351309509
21.96473282442748,257.8648840920494,0.16793893129770993,0.007101299617613355
22.963129770992364,257.5167471922598,0.17557251908396945,0.007766749766305092
23.96152671755725,257.15263434282593,0.18320610687022898,0.008462737321611014
24.959923664122137,256.77247758029824,0.19083969465648856,0.009189392193022616
25.95832061068702,256.37620553454474,0.1984732824427481,0.009946850801772433
26.956717557251906,255.96374335861356,0.20610687022900762,0.010735256214898736
27.95511450381679,255.53501265445792,0.21374045801526717,0.011554758287220135
28.953511450381676,255.0899313943427,0.2213740458015267,0.012405513811563018
29.951908396946564,254.6284138377406,0.22900763358778628,0.01328768667761182
30.95030534351145,254.1503704435105,0.2366412213740458,0.01420144803977652
31.948702290076334,253.6557077771369,0.24427480916030533,0.015146976494500863
32.94709923664122,253.14432841279233,0.2519083969465649,0.01612445826746628
33.9454961832061,252.61613082996848,0.2595419847328244,0.01713408741117728
34.94389312977099,252.07100930440328,0.26717557251908397,0.018176066013450343
35.94229007633587,251.50885379301084,0.27480916030534347,0.019250604417365924
36.94068702290076,250.92954981250088,0.282442748091603,0.02035792145328219
37.93908396946565,250.332978311351,0.29007633587786263,0.02149824468355571
38.93748091603053,249.71901553477065,0.29770992366412213,0.022671810660657044
39.93587786259542,249.087532882269,0.3053435114503817,0.023878865199424615
40.9342748091603,248.4383967574106,0.3129770992366412,0.02511966366425067
41.93267175572519,247.77146840931147,0.32061068702290074,0.026394471272055464
42.93106870229008,247.08660376539436,0.32824427480916035,0.02770356341196889
43.92946564885496,246.38365325488678,0.33587786259541985,0.029047225982707425
44.927862595419846,245.66246162250408,0.3435114503816794,0.03042575574871148
45.92625954198473,244.9228677317188,0.3511450381679389,0.03183946071618854
