time_ps,phase,k_pull,r0_pull_ang,alpha_deg,cos_alpha,linker_e2e_ang,cr2_sep_ang,triple_product_ang,potential_kj_mol,temperature_k
10.0,control,0.0,0.0,95.62996420088399,-0.09810336440848537,52.327624101569505,26.029638365269705,-4.405172694158372,-1173800.979034353,299.4157861105182
20.0,control,0.0,0.0,92.60810055735882,-0.045504223530286436,53.40562966969626,25.612487689414426,-5.290866683511771,-1173339.7128304224,299.9398148192732
30.0,control,0.0,0.0,96.70123590779144,-0.1166921604188017,53.3602317498952,25.77967239302944,-7.207815711576597,-1173033.6065735295,299.27406642730347
40.0,control,0.0,0.0,93.58362645300393,-0.06250530857033045,53.525771305798344,26.100023563999102,-5.701498684399565,-1174452.069778027,301.69918405289667
50.0,control,0.0,0.0,95.75126065913031,-0.10020995353444757,52.9721244777677,25.559787503469252,-4.350251801752595,-1173306.0225181654,303.3241851690817
60.0,control,0.0,0.0,92.13512442932533,-0.03725632700275794,52.78248407699685,25.97018693756696,-6.08776383215097,-1172592.656179797,298.68276555905817
70.0,control,0.0,0.0,99.1391181533558,-0.15883217780919356,52.36226023875413,26.219113384990727,-5.649933411261287,-1174035.3292113636,302.843440081505
80.0,control,0.0,0.0,96.3273762773809,-0.11020921923132006,52.079770203904566,25.68876551880024,-5.223604035227808,-1171488.2372871544,301.0857108257003
90.0,control,0.0,0.0,94.50475822642177,-0.07854188616949342,52.61588563542529,25.69812694629785,-4.549816784143515,-1172894.0148890018,299.4647679034792
100.0,control,0.0,0.0,92.68665536128754,-0.04687380010792669,53.90098954116202,25.682590578776104,-3.460907760569368,-1173728.5554667432,301.0017455530349
110.0,control,0.0,0.0,94.3076089997879,-0.07511115444366699,53.55746457614657,25.764266092083332,-6.147520435884083,-1173281.2960062306,300.5287891544327
120.0,control,0.0,0.0,95.85118958628959,-0.10194510984398913,52.95139267884693,25.9642124011284,-4.97156691142845,-1172578.372050099,299.84224461156145
130.0,control,0.0,0.0,99.54161484612796,-0.16576391735797352,53.34505907320393,25.3314376610453,-4.772297592027149,-1172886.5148980804,299.5059942745956
140.0,control,0.0,0.0,92.3682257650404,-0.041321568748725716,53.12841369506815,26.05421322550552,-6.17712263305463,-1173994.8410918284,300.4194533834613
150.0,control,0.0,0.0,91.50983481433633,-0.026348538992756465,52.77317217935806,26.135578765482546,-5.5473922827162045,-1172481.5055146087,299.48724628648426
160.0,control,0.0,0.0,100.66025562233834,-0.18498496150726296,52.2099260784584,26.22633717575954,-4.074645881022837,-1172258.2454337236,300.21111097422903
170.0,control,0.0,0.0,95.39927945677697,-0.0940957932715028,52.35157663929894,26.26372984735411,-4.507707185737635,-1173063.0419920236,299.6331556333289
180.0,control,0.0,0.0,93.47403238895761,-0.06059615831606824,51.96741780852138,26.046731628691596,-4.628571464932566,-1172592.038529044,300.04195765523616
190.0,control,0.0,0.0,96.64818720311759,-0.11577256142508514,52.290859432666096,25.40881905808565,-5.276850689458945,-1173617.0523012262,301.91639213085097
200.0,control,0.0,0.0,93.77494178891878,-0.06583750731174211,53.13124670623735,25.365677627518583,-3.511387964674449,-1172260.1542655993,301.2613229711002
210.0,control,0.0,0.0,97.63070481652653,-0.13278756379176868,52.34450508296646,25.90225940044119,-4.3615369091770635,-1174250.7786039896,301.8314586154705
220.0,control,0.0,0.0,96.7674382623541,-0.11783963745277909,52.71516735492488,26.3396414097915,-4.707606287191949,-1172366.9374686908,300.9758721719013
230.0,control,0.0,0.0,94.24454231177828,-0.07401349716291496,52.02026126955926,26.14366410087338,-4.126970263313531,-1172415.9844580106,299.6195776237767
240.0,control,0.0,0.0,88.16447864726058,0.03203041164695526,51.97672738384727,25.60557657048579,-3.7222187170538197,-1171869.8919828422,300.2388726489394
250.0,control,0.0,0.0,95.15353320563938,-0.089824889673281,51.64598535364196,25.74473711014917,-6.1972603999554705,-1174528.762427682,298.62568036618757
260.0,control,0.0,0.0,99.94316268218171,-0.17267116473675903,52.38001673313141,25.631074212837344,-5.920169542437135,-1173171.9823969826,299.6882803507165
270.0,control,0.0,0.0,91.55782675109482,-0.02718585615607691,52.79247913444696,25.584000572512068,-4.385059952617138,-1173791.730941018,300.5058720938999
280.0,control,0.0,0.0,98.73788624391715,-0.15191441852986476,52.65379070448023,26.102091512037923,-4.96881723326709,-1173193.9701032285,300.7565674024111
290.0,control,0.0,0.0,97.49343376088348,-0.13041256931130224,52.639158941533296,26.14398072514789,-5.297773909122286,-1172873.4618472792,301.47113860022733
300.0,control,0.0,0.0,93.2695110423351,-0.05703276851141782,51.57644262276505,25.336318042399643,-5.914834981741688,-1171517.3320037145,300.75768668107423
310.0,control,0.0,0.0,93.41171963831061,-0.05951055857289313,53.04467705534104,25.87550955356553,-5.3551053458947,-1172091.0625714809,301.8128625457521
320.0,control,0.0,0.0,93.1242164284362,-0.054500846065552264,53.42829818752503,25.884235058380852,-5.338104348812051,-1173793.2665825058,300.9629578853347
330.0,control,0.0,0.0,99.42316441542212,-0.1637248153887748,53.66491145412845,26.410572446436344,-5.231427897673036,-1174013.8154939022,299.1658950922357
