frame,J_cm,J_pda_cm,angle_deg,separation_A,aln_A_rms,aln_B_rms
0,98.17853677675832,22.558814169037884,104.348743596368,25.640448641749373,0.8217978477478027,0.8049607276916504
1,96.77842405377353,22.269170637490685,103.95211361115945,25.717593342434107,0.8748034834861755,0.8156275153160095
2,96.60708794520177,22.213764612733858,103.90566843655031,25.720351107846707,0.9614858031272888,0.7461071610450745
3,96.97321982664796,22.309455014238534,103.82869448081851,25.71861223177714,0.9193667769432068,0.8595973253250122
4,98.53326686121359,22.646889454649124,103.49502900923191,25.5633881696005,0.793354332447052,0.8405385613441467
5,98.0601169799431,22.503109232227562,104.13404484494875,25.625058852900725,0.8414577841758728,0.7739664316177368
6,96.49015908993698,22.179290459227822,103.90032420972165,25.739763616778273,0.8100658655166626,0.8130479454994202
7,97.4798756414225,22.403845435081966,103.704121929651,25.63124680645288,0.8557687997817993,0.8851126432418823
8,99.4238207598418,22.853211680905215,103.33711785735586,25.47310245851721,0.8863387107849121,0.8123029470443726
9,99.128858789684,22.779609173294386,103.17362390600262,25.481890039792063,0.9296166300773621,0.90448397397995
10,100.53503564888007,23.06987516608708,103.60480121224825,25.402087975872128,0.9174492955207825,0.8449785709381104
11,100.33900170676422,23.045117386615622,103.48151750577021,25.405945992628514,0.950767993927002,0.8851823806762695
12,100.85424287777404,23.17204156291469,103.3298326591716,25.365730339211282,0.9747989773750305,0.8847654461860657
13,99.99114662595159,22.947864249923597,103.65282946965186,25.412539720850408,0.9790792465209961,0.8379904627799988
14,98.01372836028334,22.54302699197571,103.7919161117243,25.567089559448792,1.053759217262268,0.862542986869812
15,99.43511532127481,22.879593650075147,103.60569907755927,25.475883440337512,0.9488834738731384,0.7539915442466736
16,98.77754034680927,22.73455082324952,103.79424341186032,25.522122907810065,0.9786993861198425,0.8718698620796204
17,98.89022849198213,22.775107597306576,103.9089260982236,25.566637878160233,0.893501877784729,0.8297901153564453
18,98.2701667638236,22.633819054130967,104.3972494152376,25.638718020198073,0.9356264472007751,0.9096304178237915
19,97.44116333202706,22.439469516660022,103.8713392745689,25.653184420746054,0.9764661192893982,0.8398278951644897
20,98.76822557411056,22.738966885493976,103.41489681026475,25.51251417622816,0.8654822707176208,0.8708264231681824
21,99.69570723950716,22.96372832988282,103.25834577023814,25.45908753608896,0.899966299533844,0.757635772228241
