time_ps,phase,k_pull,r0_pull_ang,alpha_deg,cos_alpha,linker_e2e_ang,cr2_sep_ang,triple_product_ang,potential_kj_mol,temperature_k
10.0,ramp,0.0,52.67997022303109,100.72547492691359,-0.18610348764858842,53.40249952520594,25.829157654536655,-5.559410721615034,-1173474.3894543685,300.8030086749589
20.0,ramp,75.0,52.616570371915934,88.57614278741119,0.024848438636898396,53.52918595578834,25.989835825235236,-5.540687034697871,-1174387.3061132599,298.32558571191635
30.0,ramp,150.0,52.553170520800776,96.55643513041234,-0.11418180594908393,52.366531985536724,26.314467733055302,-5.357991674980162,-1174509.0144022945,299.63754642303815
40.0,ramp,225.0,52.489770669685626,96.7147735788826,-0.11692681988026685,52.480914712899484,25.777738644187735,-6.690570065735987,-1173155.1985636689,298.62967302804503
50.0,ramp,300.0,52.42637081857047,95.17538471924658,-0.09020472228658413,52.23622391640364,26.081067654105734,-5.606693724253059,-1172290.2769200243,300.19098648943276
60.0,ramp,375.0,52.36297096745531,99.64362129465945,-0.16751937181704313,52.30560563207762,26.30715369385724,-5.555743259615689,-1174557.5525138676,300.71552476988586
70.0,ramp,450.0,52.299571116340154,101.96335579285521,-0.2072860622375201,52.526909291641495,26.11756053542866,-6.244608650337009,-1172739.1720939819,301.1852708544885
80.0,ramp,525.0,52.236171265224996,96.75385734198277,-0.11760425385492024,52.05266410598465,26.405606582054418,-5.4179595615254765,-1173823.1634380445,298.26948956149613
90.0,ramp,600.0,52.172771414109846,95.17690422840941,-0.0902311345754122,52.02815087453258,25.924835864110356,-5.742126408845568,-1173039.8536907062,297.7390818954395
100.0,ramp,674.9999999999999,52.10937156299469,92.77579885914558,-0.04842788013495333,52.2335104611274,26.026352380823244,-5.643845971740063,-1173843.2461328264,300.3330765459026
110.0,ramp,750.0,52.04597171187953,90.73015919013613,-0.012743337002345256,52.133307467672886,26.071808843062104,-7.886742701502691,-1173334.6146542728,301.1040450041248
120.0,ramp,825.0000000000001,51.98257186076438,96.86896891493141,-0.11959914922100359,51.74351543296066,26.057804060421276,-5.092329744460829,-1174165.4454340283,299.0753442116498
130.0,ramp,900.0,51.91917200964922,92.80850865581027,-0.04899809602177255,52.18417815707507,25.934004266637515,-6.416422353000748,-1173932.337968234,300.8812285459152
140.0,ramp,975.0,51.855772158534066,98.64084613738856,-0.15024018939801975,51.51544596451766,25.664633677106245,-5.645570304116941,-1171855.1221897174,298.6015340363863
150.0,ramp,1050.0,51.79237230741891,98.82542348208464,-0.1534243213351888,52.052702158888046,26.274875548525042,-6.225582581429725,-1173323.7518252023,299.8069751666249
160.0,ramp,1125.0,51.72897245630375,98.7458472411407,-0.15205175002502244,52.189392199746884,26.2756889063536,-6.070024806947136,-1173297.1602317467,300.11575799274317
170.0,ramp,1200.0,51.6655726051886,96.2173818305008,-0.10830094648081467,52.090989920799124,26.053556481908274,-7.531823639120259,-1173667.5910296608,301.11798847545737
180.0,ramp,1275.0000000000002,51.60217275407344,96.93178682300272,-0.12068758692228619,52.23173547425899,26.12549836713184,-4.539346247929432,-1173156.5772353467,299.5328548389013
