frame,J_cm,J_pda_cm,angle_deg,separation_A,aln_A_rms,aln_B_rms
0,29.39439489023001,25.235589395439682,102.67184993636401,25.726022515522985,0.5171370928207171,0.49089050220022445
1,30.228832295877442,25.470310920717367,105.4290749411784,25.66112360293133,0.46217582248655253,0.5738547688601747
2,30.766272659285118,26.132073114052314,100.60870889008176,25.160195682478907,0.39338680133325205,0.44777678208087285
3,33.5991060326067,28.562007264486642,103.72705578447821,24.696819578799577,0.49909959731307224,0.4904006914874511
4,30.96232173167103,25.854413484353024,104.70193147341017,25.288387174492932,0.4932899124008398,0.5021319879063503
5,27.663940709853783,23.400386526369164,100.29210808868017,26.07717901259839,0.5650187740846578,0.4849306015960111
6,28.786851208879554,23.871757606979752,104.78813375930342,25.553294377648662,0.5963603506182329,0.47448118035271936
7,29.43748967667928,24.755918261525068,103.11190228146569,25.665691674789386,0.5093318642433468,0.47628820757959156
8,28.465722439343654,23.617454637798357,102.20496937865732,25.813055043851868,0.49267822684207163,0.52157266582079
9,29.644683773182074,24.68904686362222,102.8460701872361,25.564326394467212,0.512043771883052,0.5173913274657271
10,32.04702912259421,26.50420440329169,102.16030877562493,24.898385037527742,0.5260736671739875,0.5799295226008384
11,27.575253263010666,23.04669267730578,100.92979568568262,25.776906574492678,0.5105645458068285,0.4601522996544677
12,32.62890112773682,27.637050414747318,103.13438399133283,24.95593847259787,0.5157642147367026,0.4431893181396223
13,28.132324276919356,23.404029165293576,101.80887324114418,25.70062201746103,0.5173835595189697,0.5061011882715043
14,30.11862545504762,25.673253494772865,102.02544623415672,25.508974160939623,0.4986722919660426,0.5059617404739116
15,30.719427541858504,25.871892084544864,102.53327963668511,25.328070260169905,0.5217123175378721,0.5580064772282202
16,29.383471667411346,24.642586252653683,99.49214048275587,25.56786457904941,0.49503175795242393,0.5625310666985589
17,30.31742690248142,25.469586760927967,101.46773009985525,25.32699635682946,0.4856837936755975,0.48823613040308583
18,31.095599821268635,26.084807590958278,100.62106679247769,25.18973922724162,0.5541204016223076,0.46275751151539074
19,29.846371485915963,25.18861410861514,98.95897512431371,25.36085951839782,0.5501973156392119,0.5750905457433122
20,28.49804148764346,23.800448487907236,99.10279959736809,25.607225847087236,0.5090353941783428,0.552653252320756
21,28.837951121560806,24.487412557636848,96.37438550946302,25.525248926928374,0.44924241705580903,0.5787877077989633
22,31.004175318634378,26.24363456479982,101.00201965212666,25.201409637705748,0.548822527449895,0.6346470742593252
23,29.459807568794567,24.557280020180364,99.7713256070315,25.346383831003642,0.5462764827171559,0.5025842381288157
24,28.94920773854475,24.24866981266273,100.13767487511328,25.56554710317828,0.5626391028281503,0.5107420995036238
25,33.09381989287968,27.944553380722407,102.38087147303072,24.780255675603076,0.496928889106878,0.5002255249352184
26,30.94698704076543,25.97527503823205,102.61821817372554,25.369275855574703,0.47665303573478596,0.6690035199030447
27,33.880343352679525,28.270115548122405,100.49397849563292,24.43767813037097,0.47256372459743634,0.523971782928602
28,31.066347767958703,26.284613229730553,100.42956403014567,25.116311922879305,0.4988783543793694,0.547699997139257
29,29.977308339204082,25.298741847516624,97.87721432370033,25.16762405934632,0.5234497662526576,0.6150821026792757
30,31.84888335408842,26.879512729530475,99.31670106474107,24.896579119174866,0.530803056642948,0.5754534527836944
31,32.556959847770365,27.089803976958216,101.58316826022639,24.764922578773188,0.5148174474535118,0.5849461534825172
32,31.035499442120855,26.286411693550438,99.58617848025075,25.060218947742893,0.4908028181953555,0.5338053808188854
33,29.215990100892533,24.546617487803424,99.1704532967459,25.359804349480793,0.4955464229980467,0.5846314943028815
34,31.25088767788984,26.445252513677215,102.025757388399,25.19452044031113,0.5471574524556468,0.518375510243139
35,29.06323818969031,23.99281563516733,102.46763800688744,25.4417959468077,0.5664663255537096,0.6312939283320061
36,32.193664943084386,26.78008073539192,106.69438145483828,25.20064411818985,0.5409411525661255,0.6003079397549352
37,30.221355884620472,25.652772691454583,97.01476387175296,25.09057991338049,0.5576183149926032,0.630504074843181
38,30.005124240209135,25.056324618581503,100.73410932699612,25.40196811017181,0.5733766601321344,0.5864130165240172
39,30.196385087046867,25.408658390703803,99.86372714167327,25.283466540214544,0.5373455504324948,0.5503160723690639
40,29.732273175994933,25.198983463741953,98.22720981772656,25.264887756578695,0.5583911544221277,0.5744723213521687
41,30.898356940082536,26.33009177184105,97.39010917586356,24.99848343921921,0.4850082035677624,0.5566663639615452
42,30.189197176873687,25.49201743155227,96.43620746393465,25.09301317177056,0.522667145636391,0.5947507956239257
43,30.082762886120502,25.002002980219064,100.54473899364747,25.364858746417838,0.5257383529224852,0.6167129401493168
44,31.22834125975766,26.27780346966656,96.18911130614937,24.723667290153106,0.5344790735679419,0.5533439489050203
45,30.37622149861464,25.509120176728572,97.2929418519132,24.999185728042796,0.5283799483599136,0.5550062159142035
46,28.879666686884253,24.36062212274861,99.32076325895771,25.394042538242285,0.4780161203642286,0.6263302635065929
47,31.818962899413762,26.84068806285654,101.59590703197647,24.861735455276367,0.6110415119526483,0.5311366126973807
48,31.55512050121834,26.48020455965108,99.66059943522865,24.90762348147468,0.5018150982811359,0.5755441437963532
49,34.01772616696063,28.3043221143514,102.61452853978207,24.284123564200517,0.5050424829137964,0.6054305991741666
50,31.645124327439667,26.474896442161707,102.13820721521262,24.911401032636604,0.4959781198134552,0.5851451591575553
51,32.00113950195118,26.347308661643382,103.34555472967894,24.845724878835153,0.4121502040184456,0.5495272131990387
52,32.699029233121095,27.37107974868142,97.65769381665486,24.504596604075925,0.5011703170531906,0.48366940872756686
53,31.48798780413271,26.284618752941732,99.18698677048485,24.754967700117277,0.4547895862872261,0.5516236279737581
54,33.328790086778405,27.972125438239047,100.9461921217287,24.565382016483266,0.41904962933401185,0.5452888712282606
55,30.88041868980098,25.76231819907315,101.64201525145488,25.01686531149883,0.5720069792151901,0.5693794043167691
56,32.01735531288413,26.756218291822773,102.25982597735452,24.957352796059677,0.5962698718277079,0.5456783737045017
57,32.92036588225855,27.92391700995722,100.28514169701562,24.574628857345783,0.45901631371200013,0.5826498322747388
58,34.51586479387303,28.886855264257626,103.75648135686941,24.39870108995571,0.5048057410238895,0.46688391866062817
59,30.914030049525163,25.739964395437745,103.69530575344073,25.06593102110159,0.5990831978620125,0.5743193605240217
60,29.88516491588348,25.379094613221245,103.5787490643535,25.489858251504405,0.5405566471063479,0.5233364064090831
61,30.940789418170734,25.75641757115367,106.0637644610663,25.252830657369728,0.5931776312575062,0.5758368088603693
62,31.60933654258982,26.20868214500362,102.20006531837508,24.798201510048006,0.5171239896125637,0.5746521208949339
63,31.488613765870475,26.21028257676708,101.09902885979575,24.994185566634908,0.5379571094374711,0.5068714804265504
64,29.8071163634778,24.95973099867916,99.78723251517698,25.297063449359825,0.5407974607393472,0.5513639399281806
65,30.971764750490948,25.91546546651391,102.40576161092551,25.16308268079783,0.502725068423217,0.5895124745286182
66,31.390202464644236,26.41935650685296,101.32868841897637,25.052338678989912,0.5223128473344065,0.5059906626278892
67,31.87732087948995,26.59361256499176,104.19667121335489,25.06321538393934,0.5535867576018132,0.5332381611395148
68,30.94556698427222,25.994694055642707,99.80762617427679,24.887381386876044,0.47505581274658076,0.5699110073719487
69,31.499826376730663,26.204366004712643,103.34160989122348,24.904064383306878,0.4867260305856469,0.4743792498871064
70,32.43040503807249,27.2936491573577,101.59954020665893,24.781647025960318,0.5968330181158334,0.5664349034980021
71,35.069862282193526,29.149869610038483,107.30821813525964,24.419273299752724,0.4437365478205642,0.4907735853389771
72,32.56731810604366,27.473772945371625,99.75836002470753,24.799285584380318,0.5790374460168871,0.4801647195125695
73,33.51372792235349,27.749682187906327,100.47305950568666,24.393262688364914,0.5880158979767928,0.5653812873713201
74,31.58960985004264,26.280426602179563,99.58620547105575,24.815518039995258,0.5009967917737498,0.6176626162149987
75,31.593530641710977,26.333279588754063,100.70111770118763,24.91170072843402,0.5020725129931285,0.5523013487961217
76,31.32945270685614,26.475100842702155,100.08110985246725,24.970481733088384,0.5252161508360996,0.559285744542722
77,29.317322096863226,24.152226477734445,101.56557428644923,25.52137604240524,0.5398521426623542,0.560453288773951
78,34.32247203542978,28.31186704007991,103.34919089994641,24.441263401631826,0.5047737861538191,0.6270785120273548
79,33.38954173839171,27.889552582097473,102.01163362814275,24.70370047950937,0.44785644614146997,0.4574286905802613
80,32.898219560319745,27.049558356434098,104.67383776925199,24.645476021947253,0.583993224417635,0.540311875236573
81,32.92556546853845,27.48746442404287,101.41993923122055,24.68528931895796,0.5300227322510419,0.600317415969162
82,29.9818729905803,24.970917417295563,98.74612664051152,25.232504161142565,0.596678595873165,0.6382192563249687
83,32.72508502737409,27.542395230602008,101.77365487506317,24.675144189912924,0.4824654782572018,0.5738769330877431
84,30.225674961193807,25.27150044139913,99.13609297063991,24.82255330672307,0.5344152159554204,0.5069925024381753
85,34.73076232365227,28.573601739260884,106.28647900653709,24.448692284929944,0.5219016112254055,0.591940428478151
86,32.91347411194432,27.47819987834451,100.78258547231638,24.482811905471088,0.45920550049684533,0.5462970657229546
87,35.75375950202631,29.517110487040295,104.85783537174864,24.146958496385167,0.5151294144599785,0.493069439212373
88,32.42198175631903,26.93696362410864,101.12030216391939,24.62900057856427,0.504209374369575,0.4281255660041539
89,35.185410485223926,28.801882144997826,103.58109869912609,24.23115277044491,0.6223977402277182,0.523178654485659
90,35.71692633925284,29.93824297872964,105.57474424734716,24.123253334725106,0.5285925677161708,0.47835915362777653
91,35.07074304400187,29.52197043078208,102.08285825311695,24.330702261017873,0.5111231531634336,0.5093931473814529
92,33.849013010707125,27.918102989354615,105.05281673967498,24.47958239491559,0.5212382917733852,0.5393595946171006
93,35.056541045912226,29.198955815805164,100.45864999272973,24.031531125800196,0.5386145049774332,0.45276558643173787
94,35.89570399332145,30.007525063167105,101.6792173795978,24.025115157216458,0.4259461045413075,0.573093742690498
95,33.58808233765344,28.35199566110383,100.78050236799818,24.556467703365175,0.47639153633430303,0.4860014298346185
96,33.00094764996237,27.635600154150666,101.33129999997348,24.35745366278506,0.48215489701099434,0.5231040481521012
97,32.64904411878782,27.517271493727108,102.64694831981633,24.690264319168993,0.4949428563575321,0.596530139173383
98,32.89599693898735,27.5784687851209,104.8463416125895,24.79304595216122,0.586442650345925,0.5551849851299788
99,33.720426263002565,28.15866456983077,101.09624738999472,24.361776199000158,0.5159354553345827,0.4998134503418059
100,31.35700758021502,26.16478588536234,102.90899935254424,24.92455312099736,0.5705839550461059,0.529625317274087
101,33.186768763364185,28.028689252576193,100.53759140493526,24.601918991108594,0.5360720030017647,0.5823150520323663
102,32.607715713913926,27.337748372889937,99.32947067406732,24.73645270079373,0.4956333204432281,0.5701556146135549
103,31.799798350412928,26.98985029167965,101.23362522268785,24.894745278194826,0.48390765366092875,0.5748669757191613
104,34.88961755509703,29.59751811386707,104.21376352403067,24.388991570014873,0.5023221785137557,0.5148340138733559
105,32.373379850102374,27.09232174955104,98.888009522708,24.51078088585725,0.5321708110301289,0.5084839090792967
106,33.61007813744569,28.539724512030972,101.91633607070246,24.518397979932605,0.4684616715894439,0.5262393731306252
107,34.013661072960346,28.57543169706724,103.32683483149283,24.519511512546543,0.5362035434128322,0.49183557365848496
108,31.23427956430714,26.272635831475135,101.58226879326635,24.971589173989894,0.5580061389628584,0.5734288061205548
109,32.511177194281565,26.930268429185457,103.22536392474106,24.759187424992646,0.5725938412208532,0.5171341112265311
110,33.404729038215756,28.511628960509853,100.54743480640033,24.487688873396394,0.5846125626089207,0.561713734639878
111,29.58846594513508,25.377514369307328,98.32008590406893,25.088942489580642,0.5414226436339008,0.5744017683614082
112,30.667756694979804,25.87767051428608,99.30415528178524,24.93691942395879,0.5055818218988969,0.5349652317500374
113,31.758223897122022,26.31678873166102,103.96638263807013,24.92116865998001,0.6233455251030898,0.6216131554877452
114,28.11735877095331,23.60661419866431,99.45443840819391,25.5471929234761,0.544144502625881,0.5938672449648404
115,32.32163451326994,27.30339738710947,102.05866508172333,24.7891266506127,0.5034543010003665,0.4697603880664932
116,30.5062929535304,25.964523433995087,95.4941436824498,24.927093585371907,0.5264587733479724,0.5741370630464885
117,32.74607738424806,27.56637220131083,101.13464253137498,24.75379546794363,0.5112564214999085,0.5366360100250704
118,30.516451600280064,25.717446253116044,100.89747183868657,25.184624111270903,0.5797565006029904,0.5791708759048758
119,33.07542285887039,27.295722083899165,104.8295265877686,24.610130893245454,0.5824621286938236,0.5362139307040082
120,31.147770311671316,26.24655655763178,101.7824391002437,25.10320143154871,0.5386925605798903,0.5351675548820477
121,32.89781690892285,27.305145059651345,104.59103448971486,24.811271216718588,0.5290915870892855,0.4929863059107915
122,33.045548317554456,27.38813793918512,103.0073702070095,24.61409860420267,0.6039307495837095,0.5344681149521472
123,33.84632619072405,28.18010091453216,104.80556920107662,24.56963697508417,0.49353387936981785,0.6094542556389686
124,32.05932027772862,26.984744877919624,103.68192728063113,24.954615061072467,0.5670612937074683,0.6141903760481439
125,33.37673992005539,27.69807920163523,106.29455051954547,24.701460382414954,0.4552085398740536,0.5330587620287252
126,30.835970469468656,25.736645361059008,102.9002342996366,24.962126567233895,0.5496697553593177,0.47911811785282016
127,32.437693913302134,27.399931937421208,100.65541838477378,24.809866603700144,0.4833874989944155,0.5457161059627237
128,34.93016027291671,29.02391711778473,108.11330774952198,24.48703792871814,0.5346997029347332,0.6097360471353848
129,33.56005618775792,28.154318311725262,99.88596028025574,24.470543067634427,0.5608357628479828,0.5743306138546151
130,31.853487313316812,26.74482098875611,102.3928101867388,24.974479072881294,0.5385032797404202,0.5061820714278628
131,32.140920661409474,27.364987500614458,102.871929162268,24.960248007964516,0.6568313679287181,0.6017758918100614
132,33.17663577240015,27.59364787252066,102.93281944554917,24.656429630587184,0.44656546115507717,0.5670484860431337
133,33.527119720761796,28.038060420978933,105.99080814469153,24.731792726991227,0.5044117244018401,0.5883544487883641
134,32.77537881895534,27.46136432443285,102.26390196116665,24.71181970840026,0.6185115272209513,0.5693226191371243
135,34.27397037417445,28.865048370430607,101.03768090352244,24.339162327681827,0.6088177527663333,0.5553435922436581
136,33.51141279473007,27.94105017956342,100.86807829924541,24.42684727688678,0.5485823550237285,0.5505287827842803
137,33.10106855898459,27.771888995444108,100.37389113418914,24.578495264357986,0.5288372006542204,0.5063187844950835
138,32.99531923819661,27.682349526050785,102.44313467216412,24.81254890006717,0.48888984695823773,0.5774734955509451
139,34.70782641840508,29.139699441849746,106.73403171370043,24.564468238041233,0.5254927611631133,0.5274761012497247
140,34.49128127945393,28.852879090309756,102.83101946148975,24.36672528384943,0.5208261516127732,0.5100122036386404
141,32.57727974890135,27.089525137298388,105.38641524522113,24.78926459766168,0.4865566005752199,0.5006778732675112
142,33.80878312317202,28.213099513598902,104.04188119542016,24.533446886261657,0.5746561236736691,0.5213824020598714
143,30.99040489454685,25.97544591310878,103.60106197266057,25.208733189308084,0.5596546889280447,0.5880875040057446
144,32.10486777493774,26.759241773121836,105.40638274791144,24.90937301490802,0.5542441428928953,0.5363931314331764
145,31.88376506381482,27.218918543486264,100.39947493672864,24.683147813735005,0.5964964180507967,0.5442708295687737
146,32.216282751575065,26.8542814714084,100.90167937408319,24.66553332511409,0.5587135347498392,0.5561723528167151
147,33.57183421448558,28.794696592992757,102.00874979121195,24.52799135910719,0.49943418345800494,0.529186561781
148,33.33457008185273,28.07070866225206,100.8153593656776,24.565715716821057,0.4216591795500558,0.5129146745741603
149,31.287127767308206,26.3069878220192,100.85302482458223,25.074830403379877,0.5673224523371999,0.6299457256267168
150,30.832205565893634,26.280030678377624,104.54521564565988,25.346147990956414,0.6609298005524544,0.575710448895059
151,30.66272850584205,26.20566132359754,104.25743430185182,25.49562322069966,0.5848461905844007,0.64276206525006
152,31.831627910704768,27.021526281763688,104.32535345926934,25.001104969963453,0.5244333396773974,0.4942447736168473
153,29.748246371125052,24.939147258472445,104.03331208715123,25.529624335889018,0.5683611545846375,0.4843509225467397
154,32.06735498878769,27.16841371357111,101.7095073758627,24.95941188742438,0.5070617549132308,0.5830837119303506
155,32.50553155638487,27.64920185755063,103.38757001770284,24.840474765061234,0.6340749111523327,0.6129894159427139
156,31.981969620519706,26.7774346898232,103.98730375928716,24.93179514642962,0.5664531138907171,0.4892555379091009
157,34.29357228182963,29.099129821521128,104.8887663749585,24.564418220314554,0.48457419788770584,0.5870503326598198
158,32.58442774748358,27.248422905085135,102.98522189702997,24.828032430754526,0.586322173035259,0.5786818213926931
159,31.033874850617824,26.361443080536233,101.0939187576505,25.10463087262783,0.5334070081592307,0.5597712408906731
160,31.275670193416037,26.373407763821227,100.41546639347156,24.95967996900607,0.5107393262478465,0.6061406121690847
161,33.45372171710357,28.601891722456287,101.61097892536748,24.54274772930419,0.5685930399829237,0.5637428222092545
162,32.64258950896747,27.950375916558244,102.23843685589367,24.821218496584233,0.5369178207328472,0.5210788077207225
163,33.453242514863085,28.453677705853394,101.73371842997723,24.435221684676502,0.4836437087172684,0.4814723711543934
164,32.534585443521145,27.433133255548825,99.9308870929665,24.6116949444558,0.5601980400635146,0.5218424597450743
165,32.40924432309869,27.12748468506049,103.86225994879375,25.07514999725801,0.5415926724147515,0.48859215624752605
166,32.51581886546748,27.7000560988038,104.73708078426021,24.783857541512422,0.5338793470066676,0.46210223343970314
167,32.76997033983832,27.8340442764097,101.86838656924388,24.725628584164703,0.6156742546264641,0.5803678017191922
168,33.06419347049759,27.96961535425149,106.34612275794544,24.922960682543426,0.6432333899891534,0.4696530187002364
169,35.06144942848786,29.425454406763507,106.99646511699821,24.483439067010206,0.5918745565193577,0.5431274365153672
170,35.45867173683877,29.838049390726006,108.51456243366584,24.434461159602105,0.595076173746491,0.4635749381762195
171,34.872935250102664,29.678881639837066,108.71921404952722,24.46783169642846,0.6200972961371144,0.4673630772389409
172,32.66812463911033,27.57727046386506,100.71463856969811,24.650098089750475,0.49383542816425463,0.5587883086819248
173,31.24530693251724,26.878092407067786,103.65680268714581,24.964234915888348,0.6061197632320136,0.46973763844069993
174,35.80562157990661,30.33406068966656,106.52786839741312,24.246531725776705,0.5065299238092207,0.549218854639355
175,33.8454084349047,28.473653723350495,104.75836468894859,24.577858360680334,0.6166913551491201,0.46342601090390273
176,33.24536138242912,28.188244174758395,101.86853816829974,24.57422239125726,0.5991729755265542,0.5580596967637339
177,35.350297329881435,30.012715062122417,106.34280807576035,24.317822082980367,0.5778223097565625,0.44971165876162617
178,33.701497334875775,28.43897774538571,106.32253611574833,24.545895597620056,0.4364227280485567,0.579871951456566
179,33.357762253555734,28.347203219021257,99.0936302096481,24.459714745204504,0.5797908372193289,0.4926993259650379
180,34.69687315451164,29.108797571263267,104.91893394150033,24.475714145496845,0.5293516606213057,0.5162090878181514
181,33.19381289629785,28.022642098604578,102.65455485784211,24.508513619640386,0.6188093978041002,0.40088631857184576
182,36.30656865167329,30.877295951685404,107.72981631220428,24.18251009728361,0.42746752493865775,0.5597485684462125
183,33.52183898907517,28.536626539668553,105.70801072580888,24.709295202934126,0.5270980236121251,0.6350529338941143
184,34.825460283985144,29.391642655679366,102.02843512819408,24.321800302187054,0.5732111907568045,0.5780677383118861
185,34.770870955796866,29.033987948227836,107.00058662388756,24.556945736875974,0.38892033236829415,0.5279732841425461
186,32.01477358722302,27.143308477563178,102.86090109129566,24.902215443216086,0.5108781604448588,0.5936497374442439
187,32.31017793179802,27.467420773567248,100.20523741299037,24.65064414194963,0.6205473420639698,0.5107693637242152
188,35.13628170341588,29.25961603289174,105.76339784950986,24.213225975741842,0.5024427395207899,0.5432830268945368
189,31.93102176556622,27.03794318037964,101.68569571593349,24.893183376449283,0.5384458305551352,0.5161495631298649
190,33.38598399293359,28.228005128826737,104.5060124772205,24.663984164822168,0.49239704592903655,0.568780822233006
191,32.57332132811387,27.25883766896826,103.36793281548708,24.819795288626576,0.5216631578934112,0.4996942265346922
192,33.37631162930928,27.998951602076495,105.22971415016099,24.559713317000323,0.5811325935981057,0.5503886469052065
193,32.4197000461096,27.369904506662213,106.00757002284563,24.85375492503002,0.5601708548232643,0.4812428980168985
194,32.626241421772455,27.226676916509735,105.84807913594757,24.87223368908316,0.5409177484485498,0.5411215524733191
195,31.36158564292782,26.30739530305366,105.11918205831512,25.145995908433225,0.5654631024105284,0.5220764413421889
196,31.704561826589245,26.834460579563004,102.27496276120509,24.872810227977155,0.5058418362960179,0.5189487156172353
197,32.87770387277407,27.394055867355817,103.23579938259766,24.639991132627287,0.4696247249997222,0.6146113229694409
198,30.356362754158887,26.05668527772303,99.43577152086966,25.072259638011985,0.5731238710874705,0.612378845442189
199,32.341626032751854,27.267488758205918,104.43760572961196,24.774637458630252,0.5338599490566339,0.5566565407794581
200,30.583877316146843,25.556747036999095,104.26303588437541,25.240348546813728,0.6660620404461527,0.5751149783846561
201,32.144100636939456,27.218684725609368,107.55905359400873,25.09238718539802,0.6123734101514526,0.5220222706496249
202,32.506379575295725,27.32636162893595,103.91102081734238,24.864867627541148,0.6300717046491792,0.5451358685353136
203,32.36918312060423,27.118300306435124,105.30615104335514,24.973774225597186,0.518550978125152,0.5763160290160301
204,32.015479706782465,27.607333159237047,98.02242682310663,24.68177809568243,0.5813321148091095,0.4891604849562107
205,31.284432276680263,26.01595930468807,102.33724514861701,24.93195623244001,0.6389164272097111,0.5519699593519612
206,32.29908699433785,26.9873785862794,104.22184752303069,24.756227011650864,0.5477890665824867,0.5410650325606045
207,32.858112499349765,27.754579561723364,103.21773402172488,24.73770918605886,0.5468371362283454,0.545768132807363
208,34.66157727617457,29.711616239524265,100.97443260057388,24.322997520565078,0.5572096250593639,0.5347105970568745
209,32.813945338199424,27.73827905262301,102.21887451821911,24.5612269205488,0.5364384956149602,0.44468010054196677
210,32.834066674801726,27.626899249649515,104.87216616374525,24.708098598090878,0.6311917501673158,0.5380669163638679
